year,block,zipcode,xcoord,ycoord,yearbuilt,age,build_alter_gap,alterage,alterage_squared,alterage_cubed,elevator,commercial,garage,storage,basement,waterfront,frontage,block_assmeblage,cooperative,conv_loft_wh,tenament,garden,semi_fireproof,fireproof,luxury,artist_res,3_units,4_units,5_6_units,7_10_units,11_25_units,26_50_units,50plus_units,units_per_building,floors,floors_squared,zip_avg_age,zip_avg_alterage,zip_avg_res_units_pb,zip_avg_total_units_pb,zip_avg_num_buildings,zip_avg_development,zip_small_residential,zip_rental_walk_up,zip_rental_elevator,zip_condominiums,zip_offices,zip_industrial_utility,zip_government,zip_loft,zip_parking,zip_cars,zip_hotel,zip_theater,zip_retail,zip_healthcare,zip_asylum,zip_church,zip_education,zip_public,zip_outdoor,zip_transport,pcvpu_l1,pcvpu_l2,pcvpu_l3,avg_block_pcvpu_l1,avg_block_pcvpu_l2,avg_block_pcvpu_l3,avg_neighbor1_pcvpu_l1,avg_neighbor1_pcvpu_l2,avg_neighbor1_pcvpu_l3,avg_neighbor2_pcvpu_l1,avg_neighbor2_pcvpu_l2,avg_neighbor2_pcvpu_l3,avg_neighbor3_pcvpu_l1,avg_neighbor3_pcvpu_l2,avg_neighbor3_pcvpu_l3,avg_neighbor4_pcvpu_l1,avg_neighbor4_pcvpu_l2,avg_neighbor4_pcvpu_l3,avg_zip_pcvpu_l1,avg_zip_pcvpu_l2,outcome
2008,1406,10021,994488,219978,1910,98,0,98,9604,941192,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,25,98.23973177,67.60854987,28.01892987,29.55646363,1.066219614,6.441332775,0.222129086,0.328583403,0.225481978,0.007544007,0.036881811,0.000838223,0.001676446,0.002514669,0.006705784,0.000838223,0.005867561,0,0.032690696,0.012573345,0.002514669,0.015088013,0.017602682,0.005867561,0,0,0,7.9671,7.9998,5.407268,8.105648,3.889116,4.846358621,8.029905172,2.355840678,15.32581081,18.53002703,2.619,11.0321,12.55096667,1.347125,1.136692857,4.655971429,3.950815385,6.889219909,15.95425658,8.171565601
2009,1406,10021,994488,219978,1910,99,0,99,9801,970299,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,25,99.20710059,67.22147084,25.11432798,26.63992204,1.064243449,4.583364328,0.229078614,0.327979713,0.214708369,0.008453085,0.035502959,0.000845309,0.001690617,0.002535926,0.00591716,0,0.00591716,0,0.032121724,0.014370245,0.002535926,0.015215554,0.017751479,0.00591716,0,0,3.2298,0,7.9671,4.471972,5.407268,8.105648,2.683512069,4.846358621,8.029905172,5.413032432,15.32581081,18.53002703,0.198508333,11.0321,12.55096667,4.903078571,1.136692857,4.655971429,19.97481398,6.889219909,15.95425658
2010,1406,10021,994488,219978,1910,100,0,100,10000,1000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,25,99.23898305,66.19322034,24.63961864,26.60765066,1.06440678,4.576966102,0.230508475,0.324576271,0.215254237,0.009322034,0.036440678,0.000847458,0.001694915,0.002542373,0.006779661,0,0.005932203,0,0.031355932,0.01440678,0.002542373,0.015254237,0.01779661,0.005932203,0,0,8,3.2298,0,4.39202,4.471972,5.407268,4.996937931,2.683512069,4.846358621,4.104781081,5.413032432,15.32581081,-0.584319458,0.198508333,11.0321,2.556885714,4.903078571,1.136692857,4.891323969,19.97481398,6.889219909
2011,1406,10021,994488,219978,1910,101,0,101,10201,1030301,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,25,99.26440678,65.2440678,25.06165254,26.57459981,1.066101695,4.836711864,0.234745763,0.321186441,0.216101695,0.009322034,0.037288136,0.000847458,0.001694915,0.000847458,0.006779661,0,0.005932203,0,0.031355932,0.01440678,0.002542373,0.015254237,0.01779661,0.005932203,0,0,-9.924053471,8,3.2298,2.358436,4.39202,4.471972,4.613760345,4.996937931,2.683512069,5.491813514,4.104781081,5.413032432,-1.10137076,-0.584319458,0.198508333,6.639707143,2.556885714,4.903078571,11.22323379,4.891323969,19.97481398
2012,1406,10021,994488,219978,1910,102,0,102,10404,1061208,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,25,98.59148936,62.51148936,25.11446809,26.67728605,1.067234043,4.85492766,0.235744681,0.319148936,0.217021277,0.009361702,0.038297872,0.000851064,0.001702128,0.000851064,0.006808511,0,0.005957447,0,0.031489362,0.013617021,0.002553191,0.015319149,0.018723404,0.005957447,0,0,3.6,-9.924053471,8,2.762416,2.358436,4.39202,1.221263793,4.613760345,4.996937931,3.445154054,5.491813514,4.104781081,2.542681818,-1.10137076,-0.584319458,1.458828571,6.639707143,2.556885714,1.549398615,11.22323379,4.891323969
2013,1406,10021,994488,219978,1910,103,0,103,10609,1092727,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,25,98.65523156,61.33018868,25.13867925,26.63834572,1.069468268,4.884656947,0.241852487,0.318181818,0.217838765,0.010291595,0.036020583,0.000857633,0.001715266,0,0.006861063,0,0.006003431,0,0.031732419,0.013722127,0.002572899,0.015437393,0.019725557,0.006003431,0,0,7.9999,3.6,-9.924053471,12.719364,2.762416,2.358436,5.195498276,1.221263793,4.613760345,6.141889189,3.445154054,5.491813514,3.475163636,2.542681818,-1.10137076,8.098921429,1.458828571,6.639707143,8.530852019,1.549398615,11.22323379
2014,1406,10021,994488,219978,1910,104,0,104,10816,1124864,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,25,98.83591065,60.87886598,25.40893471,26.88772432,1.071305842,4.838084192,0.242268041,0.317869416,0.214776632,0.011168385,0.033505155,0.000859107,0.001718213,0,0.006872852,0,0.006013746,0,0.036082474,0.012886598,0.00257732,0.015463918,0.018041237,0.006013746,0,0,3.1982,7.9999,3.6,4.6071,12.719364,2.762416,2.346215517,5.195498276,1.221263793,3.147035135,6.141889189,3.445154054,7.365136364,3.475163636,2.542681818,5.233778571,8.098921429,1.458828571,6.203077865,8.530852019,1.549398615
2015,1406,10021,994488,219978,1910,105,0,105,11025,1157625,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,25,98.87371134,60.86941581,25.35695876,26.79992363,1.067869416,4.847594502,0.243127148,0.316151203,0.216494845,0.011168385,0.030927835,0.000859107,0.001718213,0,0.006872852,0,0.006013746,0,0.037800687,0.012886598,0.00257732,0.015463918,0.018041237,0.006013746,0,0,0,3.1982,7.9999,9.4553625,4.6071,12.719364,8.600872414,2.346215517,5.195498276,8.945175676,3.147035135,6.141889189,15.96743636,7.365136364,3.475163636,6.663885714,5.233778571,8.098921429,11.00508978,6.203077865,8.530852019
2016,1406,10021,994488,219978,1910,106,0,106,11236,1191016,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,25,98.81013746,59.37457045,25.41595074,26.88786751,1.071305842,4.855343643,0.245704467,0.315292096,0.214776632,0.011168385,0.030927835,0.000859107,0.000859107,0,0.006872852,0,0.005154639,0,0.038659794,0.012027491,0.00257732,0.015463918,0.018900344,0.006013746,0,0,8,0,3.1982,1.815479167,9.4553625,4.6071,5.129592982,8.600872414,2.346215517,8.783481081,8.945175676,3.147035135,2.6412,15.96743636,7.365136364,4.48795,6.663885714,5.233778571,10.96059371,11.00508978,6.203077865
2017,1406,10021,994488,219978,1910,107,0,107,11449,1225043,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,25,98.73149742,59.38468158,25.32989099,26.79871868,1.06454389,4.863907057,0.245266781,0.312392427,0.214285714,0.011187608,0.030981067,0.000860585,0.000860585,0,0.006884682,0,0.005163511,0,0.039586919,0.012908778,0.002581756,0.015490534,0.018932874,0.006024096,0,0,7.9999,8,0,5.335908333,1.815479167,9.4553625,4.772384211,5.129592982,8.600872414,6.661986486,8.783481081,8.945175676,7.823554545,2.6412,15.96743636,4.021671429,4.48795,6.663885714,5.803558202,10.96059371,11.00508978
